citation,full_reference,exp,,
stocker_et_al_1999,"stocker_r,_korner_c,_schmid_b,_niklaus_pa,_leadley_pw_(1999)_a_field_study_of_the_effects_of_elevated_co2_and_plant_species_diversity_on_ecosystem-level_gas_exchange_in_a_planted_calcareous_grassland_global_change_biology,_5,_95-105",swiss_jura_c,,
stokes_et_al_2003,"stokes_c,_ash_aj,_holtum_jam_(2003)_ozface:_australian_savannas_free_air_carbon_dioxide_enrichment_facility_in:_proceedings_of_the_viith_international_rangelands_congress’(eds_n_allsopp,_ar_palmer,_sj_milton,_kp_kirkman,_gih_kerley,_cr_hurt,_cj_brown)(durban,_south_africa)",ozface_c2,,
stokes_et_al_2003,"stokes_c,_ash_aj,_holtum_jam_(2003)_ozface:_australian_savannas_free_air_carbon_dioxide_enrichment_facility_in:_proceedings_of_the_viith_international_rangelands_congress’(eds_n_allsopp,_ar_palmer,_sj_milton,_kp_kirkman,_gih_kerley,_cr_hurt,_cj_brown)(durban,_south_africa)",ozface_c2f,,
stokes_et_al_2003,"stokes_c,_ash_aj,_holtum_jam_(2003)_ozface:_australian_savannas_free_air_carbon_dioxide_enrichment_facility_in:_proceedings_of_the_viith_international_rangelands_congress’(eds_n_allsopp,_ar_palmer,_sj_milton,_kp_kirkman,_gih_kerley,_cr_hurt,_cj_brown)(durban,_south_africa)",ozface_c3,,
stokes_et_al_2003,"stokes_c,_ash_aj,_holtum_jam_(2003)_ozface:_australian_savannas_free_air_carbon_dioxide_enrichment_facility_in:_proceedings_of_the_viith_international_rangelands_congress’(eds_n_allsopp,_ar_palmer,_sj_milton,_kp_kirkman,_gih_kerley,_cr_hurt,_cj_brown)(durban,_south_africa)",ozface_c3f,,
stokes_et_al_2003,"stokes_c,_ash_aj,_holtum_jam_(2003)_ozface:_australian_savannas_free_air_carbon_dioxide_enrichment_facility_in:_proceedings_of_the_viith_international_rangelands_congress’(eds_n_allsopp,_ar_palmer,_sj_milton,_kp_kirkman,_gih_kerley,_cr_hurt,_cj_brown)(durban,_south_africa)",ozface_f,,
streit_et_al_2013,"streit_k,_rinne_kt,_hagedorn_f_et_al_(2013)_tracing_fresh_assimilates_through_larix_decidua_exposed_to_elevated_co2_and_soil_warming_at_the_alpine_treeline_using_compound-specific_stable_isotope_analysis_new_phytologist,_197,_838–849",st_face_ld_c,,
streit_et_al_2013,"streit_k,_rinne_kt,_hagedorn_f_et_al_(2013)_tracing_fresh_assimilates_through_larix_decidua_exposed_to_elevated_co2_and_soil_warming_at_the_alpine_treeline_using_compound-specific_stable_isotope_analysis_new_phytologist,_197,_838–849",st_face_ld_cw,,
streit_et_al_2013,"streit_k,_rinne_kt,_hagedorn_f_et_al_(2013)_tracing_fresh_assimilates_through_larix_decidua_exposed_to_elevated_co2_and_soil_warming_at_the_alpine_treeline_using_compound-specific_stable_isotope_analysis_new_phytologist,_197,_838–849",st_face_ld_w,,
streit_et_al_2014,"streit_k,_siegwolf_rtw,_hagedorn_f,_schaub_m,_buchmann_n_(2014)_lack_of_photosynthetic_or_stomatal_regulation_after_9_years_of_elevated_[co2]_and_4_years_of_soil_warming_in_two_conifer_species_at_the_alpine_treeline_plant,_cell_&_environment,_37,_315–326",st_face_ld_c,,
streit_et_al_2014,"streit_k,_siegwolf_rtw,_hagedorn_f,_schaub_m,_buchmann_n_(2014)_lack_of_photosynthetic_or_stomatal_regulation_after_9_years_of_elevated_[co2]_and_4_years_of_soil_warming_in_two_conifer_species_at_the_alpine_treeline_plant,_cell_&_environment,_37,_315–326",st_face_ld_cw,,
streit_et_al_2014,"streit_k,_siegwolf_rtw,_hagedorn_f,_schaub_m,_buchmann_n_(2014)_lack_of_photosynthetic_or_stomatal_regulation_after_9_years_of_elevated_[co2]_and_4_years_of_soil_warming_in_two_conifer_species_at_the_alpine_treeline_plant,_cell_&_environment,_37,_315–326",st_face_ld_w,,
strengbom_and_reich_2006,"strengbom_j,_reich_pb_2006_elevated_[co_2]_and_increased_n_supply_reduce_leaf_disease_and_related_photosynthetic_impacts_on_solidago_rigida_oecologia,_149(3):_519-525",biocon_c,,
strengbom_and_reich_2006,"strengbom_j,_reich_pb_2006_elevated_[co_2]_and_increased_n_supply_reduce_leaf_disease_and_related_photosynthetic_impacts_on_solidago_rigida_oecologia,_149(3):_519-525",biocon_cf,,
strengbom_and_reich_2006,"strengbom_j,_reich_pb_2006_elevated_[co_2]_and_increased_n_supply_reduce_leaf_disease_and_related_photosynthetic_impacts_on_solidago_rigida_oecologia,_149(3):_519-525",biocon_f,,
su_et_al_2012,su_et_al2012_effects_of_additional_n_on_herbaceous_species_of_desertified_steppe_in_arid_regions_of_china:_a_four-year_field_study_,jingtai_f,,
su_et_al_2012,su_et_al2012_effects_of_additional_n_on_herbaceous_species_of_desertified_steppe_in_arid_regions_of_china:_a_four-year_field_study_,jingtai_f2,,
su_et_al_2012,su_et_al2012_effects_of_additional_n_on_herbaceous_species_of_desertified_steppe_in_arid_regions_of_china:_a_four-year_field_study_,jingtai_f3,,
su_et_al_2013,"su_et_al,_2013_effects_of_additional_n_on_herbaceous_species_of_desertified_steppe
in_arid_regions_of_china:_a_four-year_field_study_ecol_res_(2013)_28:_21–28
doi_101007/s11284-012-0994-9",cuiliugou_f,,
sun_et_al_2014,"sun,_c,_et_al_effects_of_free-air_co2_enrichment_on_adventitious_root_development_of_rice_under_low_and_normal_soil_nitrogen_levels_the_crop_journal_2_(2014)_207-212",riceface_zhongcun_2005_c,,
sun_et_al_2014,"sun,_c,_et_al_effects_of_free-air_co2_enrichment_on_adventitious_root_development_of_rice_under_low_and_normal_soil_nitrogen_levels_the_crop_journal_2_(2014)_207-212",riceface_zhongcun_2005_cf,,
sun_et_al_2014,"sun,_c,_et_al_effects_of_free-air_co2_enrichment_on_adventitious_root_development_of_rice_under_low_and_normal_soil_nitrogen_levels_the_crop_journal_2_(2014)_207-212",riceface_zhongcun_2005_f,,
sun_et_al_2016,"sun_et_al,_2016_age-related_modulation_of_the
nitrogen_resorption_efficiency
response_to_growth_requirements
and_soil_nitrogen_availability_in_a
temperate_pine_plantation_doi:_101007/s10021-016-9962-5",saihanba_f,,
suseela_and_dukes_2013,"suseela,_v_&_dukes,_j_s_(2013)_The_responses_of_soil_and_rhizosphere_respiration_to_simulated_climatic_changes_vary_by_season_ecology_94,_403-413",bace_d,,
suseela_and_dukes_2013,"suseela,_v_&_dukes,_j_s_(2013)_The_responses_of_soil_and_rhizosphere_respiration_to_simulated_climatic_changes_vary_by_season_ecology_94,_403-413",bace_dw,,
suseela_and_dukes_2013,"suseela,_v_&_dukes,_j_s_(2013)_The_responses_of_soil_and_rhizosphere_respiration_to_simulated_climatic_changes_vary_by_season_ecology_94,_403-413",bace_dw2,,
suseela_and_dukes_2013,"suseela,_v_&_dukes,_j_s_(2013)_The_responses_of_soil_and_rhizosphere_respiration_to_simulated_climatic_changes_vary_by_season_ecology_94,_403-413",bace_dw3,,
suseela_and_dukes_2013,"suseela,_v_&_dukes,_j_s_(2013)_The_responses_of_soil_and_rhizosphere_respiration_to_simulated_climatic_changes_vary_by_season_ecology_94,_403-413",bace_i,,
suseela_and_dukes_2013,"suseela,_v_&_dukes,_j_s_(2013)_The_responses_of_soil_and_rhizosphere_respiration_to_simulated_climatic_changes_vary_by_season_ecology_94,_403-413",bace_iw,,
suseela_and_dukes_2013,"suseela,_v_&_dukes,_j_s_(2013)_The_responses_of_soil_and_rhizosphere_respiration_to_simulated_climatic_changes_vary_by_season_ecology_94,_403-413",bace_iw2,,
suseela_and_dukes_2013,"suseela,_v_&_dukes,_j_s_(2013)_The_responses_of_soil_and_rhizosphere_respiration_to_simulated_climatic_changes_vary_by_season_ecology_94,_403-413",bace_iw3,,
taeger_et_al_2015,"taeger,_s,_sparks,_t_h,_&_menzel,_a_(2015)_Effects_of_temperature_and_drought_manipulations_on_seedlings_of_scots_pine_provenances plant_biology, 17(2),_361-372",muenchen_d,,
taeger_et_al_2015,"taeger,_s,_sparks,_t_h,_&_menzel,_a_(2015)_Effects_of_temperature_and_drought_manipulations_on_seedlings_of_scots_pine_provenances plant_biology, 17(2),_361-372",muenchen_dw,,
taeger_et_al_2015,"taeger,_s,_sparks,_t_h,_&_menzel,_a_(2015)_Effects_of_temperature_and_drought_manipulations_on_seedlings_of_scots_pine_provenances plant_biology, 17(2),_361-372",muenchen_w,,
takeuchi_et_al_2001,"takeuchi_y,_kubiske_me,_isebrands_jg,_pregitzer_ks,_hendrey_g,_karnosky_df_(2001)_photosynthesis,_light_and_nitrogen_relationships_in_a_young_deciduous_forest_canopy_under_open-air_co2_enrichment_plant_cell_and_environment_24:1257–1268",aspenface_pt_c,,
talhelm_et_al_2009,"talhelm_af,_pregitzer_ks,_zak_dr_(2009)_species-specific_responses_to_atmospheric_carbon_dioxide_and_tropospheric_ozone_mediate_changes_in_soil_carbon_ecology_letters_12:1219–1228",aspenface_pt_c,,
talhelm_et_al_2009,"talhelm_af,_pregitzer_ks,_zak_dr_(2009)_species-specific_responses_to_atmospheric_carbon_dioxide_and_tropospheric_ozone_mediate_changes_in_soil_carbon_ecology_letters_12:1219–1228",aspenface_ptas_c,,
talhelm_et_al_2009,"talhelm_af,_pregitzer_ks,_zak_dr_(2009)_species-specific_responses_to_atmospheric_carbon_dioxide_and_tropospheric_ozone_mediate_changes_in_soil_carbon_ecology_letters_12:1219–1228",aspenface_ptbp_c,,
talhelm_et_al_2012,"talhelm_af,_pregitzer_ks,_giardina_cp_(2012)_long-term_leaf_production_response_to_elevated_atmospheric_carbon_dioxide_and_tropospheric_ozone_ecosystems_15:71–82",aspenface_bp_c,,
talhelm_et_al_2012,"talhelm_af,_pregitzer_ks,_giardina_cp_(2012)_long-term_leaf_production_response_to_elevated_atmospheric_carbon_dioxide_and_tropospheric_ozone_ecosystems_15:71–82",aspenface_pt_c,,
talhelm_et_al_2012,"talhelm_af,_pregitzer_ks,_giardina_cp_(2012)_long-term_leaf_production_response_to_elevated_atmospheric_carbon_dioxide_and_tropospheric_ozone_ecosystems_15:71–82",aspenface_ptas_c,,
talhelm_et_al_2012,"talhelm_af,_pregitzer_ks,_giardina_cp_(2012)_long-term_leaf_production_response_to_elevated_atmospheric_carbon_dioxide_and_tropospheric_ozone_ecosystems_15:71–82",aspenface_ptbp_c,,
talmon_et_al_2011,"talmon,_y, sternberg,_m, gruenzweig,_jm (2011) impact_of_rainfall_manipulations_and_biotic_controls_on_soil_respiration_in_mediterranean_and_desert_ecosystems_along_an_aridity_gradient global_change_biology 17, 1108–1118",lahav_d,,
talmon_et_al_2011,"talmon,_y, sternberg,_m, gruenzweig,_jm (2011) impact_of_rainfall_manipulations_and_biotic_controls_on_soil_respiration_in_mediterranean_and_desert_ecosystems_along_an_aridity_gradient global_change_biology 17, 1108–1118",lahav_i,,
talmon_et_al_2011,"talmon,_y, sternberg,_m, gruenzweig,_jm (2011) impact_of_rainfall_manipulations_and_biotic_controls_on_soil_respiration_in_mediterranean_and_desert_ecosystems_along_an_aridity_gradient global_change_biology 17, 1108–1118",matta_d,,
talmon_et_al_2011,"talmon,_y, sternberg,_m, gruenzweig,_jm (2011) impact_of_rainfall_manipulations_and_biotic_controls_on_soil_respiration_in_mediterranean_and_desert_ecosystems_along_an_aridity_gradient global_change_biology 17, 1108–1118",matta_i,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face10d_c,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face10d_ci,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face10d_i,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face10h_c,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face10h_ci,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face10h_i,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9dl_c,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9dl_ci,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9dl_i,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9dn_c,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9dn_ci,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9dn_i,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9hal_c,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9hal_ci,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9hal_i,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9han_c,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9han_ci,,
tausz-posch_et_al_2012,"tausz-posch_s,_seneweera_s,_norton_rm,_fitzgerald_gj,_tausz_m_(2012)_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research,_133,_160–166",horsham_face9han_i,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9hl_c,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9hl_ci,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9hl_i,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9hn_c,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9hn_ci,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9hn_i,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9jl_c,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9jl_ci,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9jl_i,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9jn_c,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9jn_ci,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9jn_i,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9yl_c,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9yl_ci,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9yl_i,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9yn_c,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9yn_ci,,
tausz-posch_et_al_2013a,"tausz-posch_s,_borowiak_k,_dempsey_rw,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_–_a_face_study_environmental",horsham_face9yn_i,,
tausz-posch_et_al_2013b,"tausz-posch_s,_norton_rm,_seneweera_s,_fitzgerald_gj,_tausz_m_(2013)_will_intra-specific_differences_in_transpiration_efficiency_in wheat_be_maintained_in_a_high_co2_world?_a_face_study_physiologia_plantarum,_148,_232–245",horsham_face10d_c,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face10h45_c,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face10h45_ci,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face10h45_i,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face10s_c,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face10s_ci,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face10s_i,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face9hl_c,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face9hl_ci,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face9hl_i,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face9hn_c,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face9hn_ci,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face9hn_i,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face9sl_c,,
tausz-posch_et_al_2015,"tausz-posch_s,_dempsey_rw,_seneweera_s,_norton_rm,_fitzgerald_g,_tausz_m_(2015)_does_a_freely_tillering_wheat_cultivar_benefit_more_from_elevated_co2_than_a_restricted_tillering_cultivar_in_a_water-limited_environment?_european_journal_of_agronomy,_64,_21–28",horsham_face9sl_ci,,
