citation,exp,full_reference,
van_duren_et_al_1997b,drentsche_aa_drained_fp,duren_i_c_pegtel_d_m_aerts_b_a_and_inberg_j_a_1997_nutrient_supply_in_undrained_and_drained_calthion_meadows__journal_of_vegetation_science_86_829–838_https://doiorg/102307/3237027,
van_duren_et_al_1997b,drentsche_aa_wet_fnp,duren_i_c_pegtel_d_m_aerts_b_a_and_inberg_j_a_1997_nutrient_supply_in_undrained_and_drained_calthion_meadows__journal_of_vegetation_science_86_829–838_https://doiorg/102307/3237027,
van_duren_et_al_1997b,drentsche_aa_wet_fn,duren_i_c_pegtel_d_m_aerts_b_a_and_inberg_j_a_1997_nutrient_supply_in_undrained_and_drained_calthion_meadows__journal_of_vegetation_science_86_829–838_https://doiorg/102307/3237027,
van_duren_et_al_1997b,drentsche_aa_wet_fp,duren_i_c_pegtel_d_m_aerts_b_a_and_inberg_j_a_1997_nutrient_supply_in_undrained_and_drained_calthion_meadows__journal_of_vegetation_science_86_829–838_https://doiorg/102307/3237027,
van_groenigen_et_al_2003,swissface_lolium2_cf,van_groenigen_k-j_six_j_harris_d_blum_h_van_kessel_c_2003_soil_13c–15n_dynamics_in_an_n2-fixing_clover_system_under_long-term_exposure_to_elevated_atmospheric_co2_global_change_biology_9:1751–1762,
van_groenigen_et_al_2003,swissface_lolium2_c,van_groenigen_k-j_six_j_harris_d_blum_h_van_kessel_c_2003_soil_13c–15n_dynamics_in_an_n2-fixing_clover_system_under_long-term_exposure_to_elevated_atmospheric_co2_global_change_biology_9:1751–1762,
van_groenigen_et_al_2003,swissface_lolium2_f,van_groenigen_k-j_six_j_harris_d_blum_h_van_kessel_c_2003_soil_13c–15n_dynamics_in_an_n2-fixing_clover_system_under_long-term_exposure_to_elevated_atmospheric_co2_global_change_biology_9:1751–1762,
van_groenigen_et_al_2003,swissface_trifolium2_c,van_groenigen_k-j_six_j_harris_d_blum_h_van_kessel_c_2003_soil_13c–15n_dynamics_in_an_n2-fixing_clover_system_under_long-term_exposure_to_elevated_atmospheric_co2_global_change_biology_9:1751–1762,
van_groenigen_et_al_2003,swissface_trifolium2_cf,"van_groenigen_k-j_six_j_harris_d_blum_h_van_kessel_c_2003_soil_13c–15n_dynamics_in_an_n2-fixing_clover_system_under_long-term_exposure_to_elevated_atmospheric_co2_global_change_biology_9:1751–1762
",
van_groenigen_et_al_2003,swissface_trifolium2_f,"van_groenigen_k-j_six_j_harris_d_blum_h_van_kessel_c_2003_soil_13c–15n_dynamics_in_an_n2-fixing_clover_system_under_long-term_exposure_to_elevated_atmospheric_co2_global_change_biology_9:1751–1762
",
van_groenigen_et_al_2005,swissface_lolium2_f,van_groenigen_k_j_gorissen_a_six_j_harris_d_kuikman_p_j_van_groenigen_j_w_and_van_kessel_c_2005_decomposition_of_14c-labeled_roots_in_a_pasture_soil_exposed_to_10_years_of_elevated_co_2_soil_biology_and_biochemistry_373_497–506_https://doiorg/101016/jsoilbio200408013,
van_groenigen_et_al_2005,swissface_lolium2_cf,van_groenigen_kj_gorissen_a_six_j_harris_d_kuikman_pj_van_groenigen_jw_van_kessel_c_2005_decomposition_of_c-14-labeled_roots_in_a_pasture_soil_exposed_to_10_years_of_elevated_co2_soil_biology_and_biochemistry_37_497-506,
van_groenigen_et_al_2005,swissface_lolium2_c,van_groenigen_kj_gorissen_a_six_j_harris_d_kuikman_pj_van_groenigen_jw_van_kessel_c_2005_decomposition_of_c-14-labeled_roots_in_a_pasture_soil_exposed_to_10_years_of_elevated_co2_soil_biology_and_biochemistry_37_497-506,
van_huysen_et_al_2016,44.5_-123.07_f,van_huysen_t_l_perakis_s_s_and_harmon_m_e_2016_decomposition_drives_convergence_of_forest_litter_nutrient_stoichiometry_following_phosphorus_addition_plant_and_soil_4061–2_1–14_https://doiorg/101007/s11104-016-2857-6,
van_kessel_et_al_2000,swissface_trifolium_c,van_kessel_c_nitschelm_j_horwath_wr_harris_d_walley_f_luscher_a_hartwig_u_2000_carbon-13_input_and_turn-over_in_a_pasture_soil_exposed_to_long-term_elevated_atmospheric_co2_global_change_biology_6:123–135,
van_kessel_et_al_2000,swissface_trifolium_cf,van_kessel_c_nitschelm_j_horwath_wr_harris_d_walley_f_luscher_a_hartwig_u_2000_carbon-13_input_and_turn-over_in_a_pasture_soil_exposed_to_long-term_elevated_atmospheric_co2_global_change_biology_6:123–135,
van_kessel_et_al_2000,swissface_lolium2_cf,van_kessel_c_nitschelm_j_horwath_wr_harris_d_walley_f_luscher_a_hartwig_u_2000_carbon-13_input_and_turn-over_in_a_pasture_soil_exposed_to_long-term_elevated_atmospheric_co2_global_change_biology_6:123–135,
van_kessel_et_al_2000,swissface_lolium2_c,van_kessel_c_nitschelm_j_horwath_wr_harris_d_walley_f_luscher_a_hartwig_u_2000_carbon-13_input_and_turn-over_in_a_pasture_soil_exposed_to_long-term_elevated_atmospheric_co2_global_change_biology_6:123–135,
van_kessel_et_al_2000,swissface_lolium2_f,van_kessel_c_nitschelm_j_horwath_wr_harris_d_walley_f_luscher_a_hartwig_u_2000_carbon-13_input_and_turn-over_in_a_pasture_soil_exposed_to_long-term_elevated_atmospheric_co2_global_change_biology_6:123–135,
van_kessel_et_al_2000,swissface_trifolium2_cf,"van_kessel_c_nitschelm_j_horwath_wr_harris_d_walley_f_luscher_a_hartwig_u_2000_carbon-13_input_and_turn-over_in_a_pasture_soil_exposed_to_long-term_elevated_atmospheric_co2_global_change_biology_6:123–135
",
van_kessel_et_al_2000,swissface_trifolium2_f,"van_kessel_c_nitschelm_j_horwath_wr_harris_d_walley_f_luscher_a_hartwig_u_2000_carbon-13_input_and_turn-over_in_a_pasture_soil_exposed_to_long-term_elevated_atmospheric_co2_global_change_biology_6:123–135
",
van_kessel_et_al_2006,swissface_lolium2_c,van_kessel_c_boots_b_de_graaff_m_a_harris_d_blum_h_and_six_j_2006_total_soil_c_and_n_sequestration_in_a_grassland_following_10_years_of_free_air_co2_enrichment global_change_biology 12:_2187-2199,
van_kessel_et_al_2006,swissface_trifolium2_c,van_kessel_c_boots_b_de_graaff_m_a_harris_d_blum_h_and_six_j_2006_total_soil_c_and_n_sequestration_in_a_grassland_following_10_years_of_free_air_co2_enrichment global_change_biology 12:_2187-2199,
van_kessel_et_al_2006,swissface_loliumtrifolium2_c,van_kessel_c_boots_b_de_graaff_m_a_harris_d_blum_h_and_six_j_2006_total_soil_c_and_n_sequestration_in_a_grassland_following_10_years_of_free_air_co2_enrichment_global_change_biology_1211_2187–2199_https://doiorg/101111/j1365-2486200601172x,
van_kleunen_et_al_2006,swissface_bromuscarex_c,van_kleunen_et_al_2006_[co2]-_and_denstity-dependant_competition_between_grassland_species_global_change_biology_12_2175-2186,
van_straaten_et_al_2010,sulawesicacao_d,van_straaten_o_veldkamp_e_koehler_m_anas_i_2010_spatial_and_temporal_effects_of_drought_on_soil_co2_efflux_in_a_cacao_agroforestry_system_in_sulawesi_indonesia_biogeosciences_7_1223-1235,
van_straaten_et_al_2011,lorelindu_d,van_straaten_o_veldkamp_e_and_corre_m_d_2011_simulated_drought_reduces_soil_co2_efflux_and_production_in_a_tropical_forest_in_sulawesi_indonesia ecosphere 210_1-22,
van_sundert_2018,freiburg_df,van_sundert_k_2018_measurements_on_samples_taken_in_the_year_2018,
van_sundert_2018,freiburg_d,van_sundert_k_2018_measurements_on_samples_taken_in_the_year_2018,
van_sundert_2018,freiburg_f,van_sundert_k_2018_measurements_on_samples_taken_in_the_year_2018,
van_wijnen_and_bakker_1999,schiermonnikoog_old_fn2,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_old_fn,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_young_fn2,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_young_fn,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_old_fn2p2,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_old_fn2p,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_old_fnp2,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_old_fnp,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_old_fp2,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_old_fp,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_young_fn2p2,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_young_fn2p,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_young_fnp2,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_young_fnp,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_young_fp2,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
van_wijnen_and_bakker_1999,schiermonnikoog_young_fp,van_wijnen_h_j_and_bakker_j_p_nitrogen_and_phosphorus_limitation_in_a_coastal_barrier_salt_marsh:_the_implications_for_vegetation_succession_j_ecol_87_265-272_1999,
vanaja_et_al_2011,17.35_78.51_corn_cd,vanaja_m_yadav_s_archana_g_lakshmi_nj_reddy_pr_vagheera_p_et_al_2011_response_of_c4_maize_and_c3_sunflower_crop_plants_to_drought_stress_and_enhanced_carbon_dioxide_concentration_plant_soil_and_environment_57_207-215,
vanaja_et_al_2011,17.35_78.51_corn_c,vanaja_m_yadav_s_archana_g_lakshmi_nj_reddy_pr_vagheera_p_et_al_2011_response_of_c4_maize_and_c3_sunflower_crop_plants_to_drought_stress_and_enhanced_carbon_dioxide_concentration_plant_soil_and_environment_57_207-215,
vanaja_et_al_2011,17.35_78.51_corn_d,vanaja_m_yadav_s_archana_g_lakshmi_nj_reddy_pr_vagheera_p_et_al_2011_response_of_c4_maize_and_c3_sunflower_crop_plants_to_drought_stress_and_enhanced_carbon_dioxide_concentration_plant_soil_and_environment_57_207-215,
vanaja_et_al_2011,17.35_78.51_sunflower_cd,vanaja_m_yadav_s_archana_g_lakshmi_nj_reddy_pr_vagheera_p_et_al_2011_response_of_c4_maize_and_c3_sunflower_crop_plants_to_drought_stress_and_enhanced_carbon_dioxide_concentration_plant_soil_and_environment_57_207-215,
vanaja_et_al_2011,17.35_78.51_sunflower_c,vanaja_m_yadav_s_archana_g_lakshmi_nj_reddy_pr_vagheera_p_et_al_2011_response_of_c4_maize_and_c3_sunflower_crop_plants_to_drought_stress_and_enhanced_carbon_dioxide_concentration_plant_soil_and_environment_57_207-215,
vanaja_et_al_2011,17.35_78.51_sunflower_d,vanaja_m_yadav_s_archana_g_lakshmi_nj_reddy_pr_vagheera_p_et_al_2011_response_of_c4_maize_and_c3_sunflower_crop_plants_to_drought_stress_and_enhanced_carbon_dioxide_concentration_plant_soil_and_environment_57_207-215,
vandijk_et_al_2012,lipsk_f2,"vandijk_et_al_2012_combined_effects_of_nitrogen_enrichment_sulphur_pollution
and_climate_change_on_fen_meadow_vegetation_n:p
stoichiometry_and_biomass_biogeochemistry_2012_111:139–150",
vandijk_et_al_2012,lipsk_f,"vandijk_et_al_2012_combined_effects_of_nitrogen_enrichment_sulphur_pollution
and_climate_change_on_fen_meadow_vegetation_n:p
stoichiometry_and_biomass_biogeochemistry_2012_111:139–150",
vanmeeteren_et_al_2008,oldebroek_d,kopittke_et_al_2014_fourteen_annually_repeated_droughts_suppressed_autotrophic_soil_respiration_and_resulted_in_an_ecosystem_change_ecosystems_17_242-257,
vanmeeteren_et_al_2008,oldebroek_w,van_meeteren_mm_tietema_a_van_loon_ee_verstraten_jm_2008_microbial_dynamics_and_litter_decomposition_under_a_changed_climate_in_a_dutch_heathland_applied_soil_ecology_38_119-127,
vasconcelos_et_al_2004,ufra_i,vasconcelos_s_s_et_al_moisture_and_substrate_availability_constrain_soil_trace_gas_fluxes_in_an_eastern_amazonian_regrowth_forest_global_biogeochem_cycles_18_gb2009_doi:101029/2003gb002210_2004,
vasconcelos_et_al_2012,ufra_i,vasconcelos_s_s_zarin_d_j_araújo_m_m_and_de_souza_miranda_i_2012_aboveground_net_primary_productivity_in_tropical_forest_regrowth_increases_following_wetter_dry-seasons_forest_ecology_and_management_276_82-87,
ven_et_al_2019,katelijne_2016_fnp,ven_a_verbruggen_e_verlinden_m_olsson_p_a_wallander_h_and_vicca_s_2019_mesh_bags_underestimated_arbuscular_mycorrhizal_abundance_but_captured_fertilization_effects_in_a_mesocosm_experiment_pland_and_soil,
ven_et_al_2019,katelijne_2016_fn,ven_a_verbruggen_e_verlinden_m_olsson_p_a_wallander_h_and_vicca_s_2019_mesh_bags_underestimated_arbuscular_mycorrhizal_abundance_but_captured_fertilization_effects_in_a_mesocosm_experiment_pland_and_soil,
ven_et_al_2019,katelijne_2016_fp,ven_a_verbruggen_e_verlinden_m_olsson_p_a_wallander_h_and_vicca_s_2019_mesh_bags_underestimated_arbuscular_mycorrhizal_abundance_but_captured_fertilization_effects_in_a_mesocosm_experiment_pland_and_soil,
ven_et_al_2019,katelijne_2017_f2,ven_a_verbruggen_e_verlinden_m_olsson_p_a_wallander_h_and_vicca_s_2019_mesh_bags_underestimated_arbuscular_mycorrhizal_abundance_but_captured_fertilization_effects_in_a_mesocosm_experiment_pland_and_soil,
ven_et_al_2019,katelijne_2017_f3,ven_a_verbruggen_e_verlinden_m_olsson_p_a_wallander_h_and_vicca_s_2019_mesh_bags_underestimated_arbuscular_mycorrhizal_abundance_but_captured_fertilization_effects_in_a_mesocosm_experiment_pland_and_soil,
ven_et_al_2019,katelijne_2017_f,ven_a_verbruggen_e_verlinden_m_olsson_p_a_wallander_h_and_vicca_s_2019_mesh_bags_underestimated_arbuscular_mycorrhizal_abundance_but_captured_fertilization_effects_in_a_mesocosm_experiment_pland_and_soil,
ven_et_al_2019b,katelijne_2017_f2,ven_a_verlinden_m_verbruggen_e_vicca_s_2019_experimental_evidence_that_phosphorus_fertilization_and_arbuscular_mycorrhizal_symbiosis_can_reduce_the_carbon_cost_of_phosphorus_uptake_functional_ecology_33_2215-2225_,
ven_et_al_2019b,katelijne_2017_f3,ven_a_verlinden_m_verbruggen_e_vicca_s_2019_experimental_evidence_that_phosphorus_fertilization_and_arbuscular_mycorrhizal_symbiosis_can_reduce_the_carbon_cost_of_phosphorus_uptake_functional_ecology_33_2215-2225_,
ven_et_al_2019b,katelijne_2017_f,ven_a_verlinden_m_verbruggen_e_vicca_s_2019_experimental_evidence_that_phosphorus_fertilization_and_arbuscular_mycorrhizal_symbiosis_can_reduce_the_carbon_cost_of_phosphorus_uptake_functional_ecology_33_2215-2225_,
verburg_et_al_2005,ecocells_w,verburg_et_al_2005_impacts_of_an_anomalously_warm_year_on_soil_co2_efflux_in_experimentally_manipulated_tallgrass_prairie_ecosystems_global_change_biology_11_1720-1732,
verhoeven_and_schmitz_1991,hol_kortenhoef_fn,verhoeven_j_t_a_and_schmitz_m_b_control_of_plant_growth_by_nitrogen_and_phosphorus_in_mesotrophic_fens_biogeochemistry_12_135-148_1991,
verhoeven_and_schmitz_1991,hol_kortenhoef_fp,verhoeven_j_t_a_and_schmitz_m_b_control_of_plant_growth_by_nitrogen_and_phosphorus_in_mesotrophic_fens_biogeochemistry_12_135-148_1991,
verhoeven_and_schmitz_1991,molenpolder_fn,verhoeven_j_t_a_and_schmitz_m_b_control_of_plant_growth_by_nitrogen_and_phosphorus_in_mesotrophic_fens_biogeochemistry_12_135-148_1991,
verhoeven_and_schmitz_1991,molenpolder_fp,verhoeven_j_t_a_and_schmitz_m_b_control_of_plant_growth_by_nitrogen_and_phosphorus_in_mesotrophic_fens_biogeochemistry_12_135-148_1991,
verhoeven_and_schmitz_1991,westbroek_polder_fn,verhoeven_j_t_a_and_schmitz_m_b_control_of_plant_growth_by_nitrogen_and_phosphorus_in_mesotrophic_fens_biogeochemistry_12_135-148_1991,
verhoeven_and_schmitz_1991,westbroek_polder_fp,verhoeven_j_t_a_and_schmitz_m_b_control_of_plant_growth_by_nitrogen_and_phosphorus_in_mesotrophic_fens_biogeochemistry_12_135-148_1991,
verhoeven_et_al_2011,53.83_-8.83_fnp,verhoeven_j_t_a_beltman_b_dorland_e_robat_s_a_and_bobbink_r_2011_differential_effects_of_ammonium_and_nitrate_deposition_on_fen_phanerogams_and_bryophytes_applied_vegetation_science_142_149–157_https://doiorg/101111/j1654-109x201001113x,
verhoeven_et_al_2011,53.83_-8.83_fn,verhoeven_j_t_a_beltman_b_dorland_e_robat_s_a_and_bobbink_r_2011_differential_effects_of_ammonium_and_nitrate_deposition_on_fen_phanerogams_and_bryophytes_applied_vegetation_science_142_149–157_https://doiorg/101111/j1654-109x201001113x,
verhoeven_et_al_2011,53.83_-8.83_fp,verhoeven_j_t_a_beltman_b_dorland_e_robat_s_a_and_bobbink_r_2011_differential_effects_of_ammonium_and_nitrate_deposition_on_fen_phanerogams_and_bryophytes_applied_vegetation_science_142_149–157_https://doiorg/101111/j1654-109x201001113x,
verhoeven_et_al_2011,53.83_-8.83_f,verhoeven_j_t_a_beltman_b_dorland_e_robat_s_a_and_bobbink_r_2011_differential_effects_of_ammonium_and_nitrate_deposition_on_fen_phanerogams_and_bryophytes_applied_vegetation_science_142_149–157_https://doiorg/101111/j1654-109x201001113x,
verlinden_et_al_2018,katelijne_2016_fnp,verlinden_m_s_ven_a_verbruggen_e_janssens_i_a_wallander_h_and_vicca_s_2018_favorable_effect_of_mycorrhizae_on_biomass_production_efficiency_exceeds_their_carbon_cost_in_a_fertilization_experiment_ecology_9911_2525-2534,
verlinden_et_al_2018,katelijne_2016_fn,verlinden_m_s_ven_a_verbruggen_e_janssens_i_a_wallander_h_and_vicca_s_2018_favorable_effect_of_mycorrhizae_on_biomass_production_efficiency_exceeds_their_carbon_cost_in_a_fertilization_experiment_ecology_9911_2525-2534,
verlinden_et_al_2018,katelijne_2016_fp,verlinden_m_s_ven_a_verbruggen_e_janssens_i_a_wallander_h_and_vicca_s_2018_favorable_effect_of_mycorrhizae_on_biomass_production_efficiency_exceeds_their_carbon_cost_in_a_fertilization_experiment_ecology_9911_2525-2534,
verville_et_al_1998,toolik_1993_w,verville_j_h_hobbie_s_e_chapin_f_s_and_hooper_d_u_response_of_tundra_ch4_and_co?_flux_to_manipulation_of_temperature_and_vegetation_biogeochemistry_41_215-235_1998,
veteli_et_al_2002,62.78_30.97_salix_c,veteli_t_o_kuokkanen_k_julkunen-tiitto_r_roininen_h_and_tahvanainen_j_2002_effects_of_elevated_co2_and_temperature_on_plant_growth_and_herbivore_defensive_chemistry_global_change_biology_812_1240–1252_https://doiorg/101046/j1365-2486200200553x,
veteli_et_al_2002,62.78_30.97_salix_cw,veteli_t_o_kuokkanen_k_julkunen-tiitto_r_roininen_h_and_tahvanainen_j_2002_effects_of_elevated_co2_and_temperature_on_plant_growth_and_herbivore_defensive_chemistry_global_change_biology_812_1240–1252_https://doiorg/101046/j1365-2486200200553x,
veteli_et_al_2002,62.78_30.97_salix_w,veteli_t_o_kuokkanen_k_julkunen-tiitto_r_roininen_h_and_tahvanainen_j_2002_effects_of_elevated_co2_and_temperature_on_plant_growth_and_herbivore_defensive_chemistry_global_change_biology_812_1240–1252_https://doiorg/101046/j1365-2486200200553x,
vicca_et_al_2007,ua2003_w,vicca_s_serrano-ortiz_p_de_boeck_h_j_lemmens_c_m_h_m_nijs_i_ceulemans_r__and_janssens_i_a_2007_effects_of_climate_warming_and_declining_species_richness_in_grassland_model_ecosystems:_acclimation_of_co_2_fluxes biogeosciences 41_27-36,
vicca_et_al_2009,ua2007_cw,vicca_s_zavalloni_c_fu_y_s_h_voets_l_dupre_de_boulois_h_declerck_s__and_janssens_i_a_2009_arbuscular_mycorrhizal_fungi_may_mitigate_the_influence_of_a_joint_rise_of_temperature_and_atmospheric_c_o_2_on_soil_respiration_in_grasslands international_journal_of_ecology 2009,
vigue_and_lindroth_2010,aspenface_pt_c,vigue_lm_lindroth_rl_2010_effects_of_genotype_elevated_co_2_and_elevated_o_3_on_aspen_phytochemistry_and_aspen_leaf_beetle_chrysomela_crotchi_performance_agricultural_and_forest_entomology,
vitousek_1983,39.15_-86.52_f,vitousek_p_1983_nitrogen_turnover_in_a_ragweed-dominated_1st-year_old_field_in_southern_indiana_american_midland_naturalist_1101_46_https://doiorg/102307/2425212,
vivanco_et_al_2015,32.53_-117.12_f,vivanco_l_irvine_i_c_and_martiny_j_b_h_nonlinear_responses_in_salt_marsh_functioning_to_increased_nitrogen_addition_ecology_96_936-947_2015,
vivanco_et_al_2015,34.4_-119.53_f,vivanco_l_irvine_i_c_and_martiny_j_b_h_nonlinear_responses_in_salt_marsh_functioning_to_increased_nitrogen_addition_ecology_96_936-947_2015,
vivanco_et_al_2015,35.33_-120.82_f,vivanco_l_irvine_i_c_and_martiny_j_b_h_nonlinear_responses_in_salt_marsh_functioning_to_increased_nitrogen_addition_ecology_96_936-947_2015,
vogel_et_al_1997,mbs_alnus_c,vogel_cs_curtis_ps_thomas_rb_1997_growth_and_nitrogen_accretion_of_dinitrogen-fixing_alnus_glutinosa_l_gaertn_under_elevated_carbon_dioxide_plant_ecology_130_63-70,
vogel_et_al_2012,jena_s1_d,vogel_a_scherer-lorenzen_m_weigelt_a_2012_grassland_resistance_and_resilience_after_drought_depends_on_management_intensity_and_species_richness_plos_one_7_e36992,
vogel_et_al_2012,jena_s16_d,vogel_a_scherer-lorenzen_m_weigelt_a_2012_grassland_resistance_and_resilience_after_drought_depends_on_management_intensity_and_species_richness_plos_one_7_e36992,
vogel_et_al_2012,jena_s2_d,vogel_a_scherer-lorenzen_m_weigelt_a_2012_grassland_resistance_and_resilience_after_drought_depends_on_management_intensity_and_species_richness_plos_one_7_e36992,
vogel_et_al_2012,jena_s4_d,vogel_a_scherer-lorenzen_m_weigelt_a_2012_grassland_resistance_and_resilience_after_drought_depends_on_management_intensity_and_species_richness_plos_one_7_e36992,
vogel_et_al_2012,jena_s60_d,vogel_a_scherer-lorenzen_m_weigelt_a_2012_grassland_resistance_and_resilience_after_drought_depends_on_management_intensity_and_species_richness_plos_one_7_e36992,
vogel_et_al_2012,jena_s8_d,vogel_a_scherer-lorenzen_m_weigelt_a_2012_grassland_resistance_and_resilience_after_drought_depends_on_management_intensity_and_species_richness_plos_one_7_e36992,
vogel_et_al_2013,jena_s1_d,vogel_a_eisenhauer_n_weigelt_a_and_scherer?lorenzen_m_2013_plant_diversity_does_not_buffer_drought_effects_on_early?stage_litter_mass_loss_rates_and_microbial_properties_global_change_biology_199_2795-2803,
vogel_et_al_2013,jena_s16_d,vogel_a_eisenhauer_n_weigelt_a_and_scherer?lorenzen_m_2013_plant_diversity_does_not_buffer_drought_effects_on_early?stage_litter_mass_loss_rates_and_microbial_properties_global_change_biology_199_2795-2803,
vogel_et_al_2013,jena_s2_d,vogel_a_eisenhauer_n_weigelt_a_and_scherer?lorenzen_m_2013_plant_diversity_does_not_buffer_drought_effects_on_early?stage_litter_mass_loss_rates_and_microbial_properties_global_change_biology_199_2795-2803,
vogel_et_al_2013,jena_s4_d,vogel_a_eisenhauer_n_weigelt_a_and_scherer?lorenzen_m_2013_plant_diversity_does_not_buffer_drought_effects_on_early?stage_litter_mass_loss_rates_and_microbial_properties_global_change_biology_199_2795-2803,
vogel_et_al_2013,jena_s60_d,vogel_a_eisenhauer_n_weigelt_a_and_scherer?lorenzen_m_2013_plant_diversity_does_not_buffer_drought_effects_on_early?stage_litter_mass_loss_rates_and_microbial_properties_global_change_biology_199_2795-2803,
vogel_et_al_2013,jena_s8_d,vogel_a_eisenhauer_n_weigelt_a_and_scherer?lorenzen_m_2013_plant_diversity_does_not_buffer_drought_effects_on_early?stage_litter_mass_loss_rates_and_microbial_properties_global_change_biology_199_2795-2803,
vogel_et_al_2013,jena_d,vogel_et_al_2013_separating_drought_effects_from_roof_artifacts_on_ecosystem_processes_in_a_grassland_drought_experiment,
vogel_et_al_2013_b,jena_d,vogel_et_al_2013_separating_drought_effects_from_roof_artifacts_on_ecosystem_processes_in_a_grassland_drought_experiment,
voisin_et_al_2002,47.28_5.03_f2,voisin_a_s_salon_c_munier-jolain_n_g_and_ney_b_2002_effect_of_mineral_nitrogen_on_nitrogen_nutrition_and_biomass_partitioning_between_the_shoot_and_roots_of_pea_pisum_sativum_l_plant_and_soil_2422_251–262_https://doiorg/101023/a:1016214223900,
voisin_et_al_2002,47.28_5.03_f3,voisin_a_s_salon_c_munier-jolain_n_g_and_ney_b_2002_effect_of_mineral_nitrogen_on_nitrogen_nutrition_and_biomass_partitioning_between_the_shoot_and_roots_of_pea_pisum_sativum_l_plant_and_soil_2422_251–262_https://doiorg/101023/a:1016214223900,
voisin_et_al_2002,47.28_5.03_f,voisin_a_s_salon_c_munier-jolain_n_g_and_ney_b_2002_effect_of_mineral_nitrogen_on_nitrogen_nutrition_and_biomass_partitioning_between_the_shoot_and_roots_of_pea_pisum_sativum_l_plant_and_soil_2422_251–262_https://doiorg/101023/a:1016214223900,
volder_et_al_2004,ges_c,volder_a_et_al_does_greater_night-time_rather_than_constant_warming_alter_growth_of_managed_pasture_under_ambient_and_elevated_atmospheric_co2?_new_phytol_162_397-411_2004,
volder_et_al_2004,ges_cw,volder_a_et_al_does_greater_night-time_rather_than_constant_warming_alter_growth_of_managed_pasture_under_ambient_and_elevated_atmospheric_co2?_new_phytol_162_397-411_2004,
volder_et_al_2004,ges_w,volder_a_et_al_does_greater_night-time_rather_than_constant_warming_alter_growth_of_managed_pasture_under_ambient_and_elevated_atmospheric_co2?_new_phytol_162_397-411_2004,
